UEN,WEBSITE,SOURCES,pred_label,true_pred
200400212R,qiji.com.sg,ORBIS,B,C
200403545Z,www.magnasys.tv,ORBIS,C,B
200403545Z,MAGNASYS.COM.SG,SGNIC,C,B
200411002H,kandidataasia.com,ORBIS,C,B
200413856E,www.bridgealliance.com,ORBIS,C,B
200415123E,sunriseclick.com,ORBIS,C,B
200415599W,www.subway.com/en-us,ORBIS,B,C
200416932Z,www.livlon.com.sg,ORBIS,B,C
200501419C,www.beingkids.sg,ORBIS,B,C
200501419C,GOSG.SG,SGNIC,B,C
200503334K,www.ristorante-da-valentino.com,ORBIS,B,C
200503334K,VALENTINO.SG,SGNIC,B,C
200506203R,www.smecentre-smf.sg,ORBIS,C,B
200506203R,UPCOMINGEVENTS-SMECENTRE-SMF.SG,SGNIC,C,B
200509198Z,smecentre-smcci.sg,ORBIS,C,B
200511013R,www.minco.com,ORBIS,B,C
200512606Z,www.mbmotors.com.sg,ORBIS,B,C
200514040K,kluwerarbitrationblog.com,ORBIS,C,B
200514040K,INTERSNACK.COM.SG,SGNIC,C,B
200514040K,INTERSNACKCASHEWCOMPANYSINGAPORE.COM.SG,SGNIC,C,B
200514040K,INTERSNACKCASHEWSINGAPORE.COM.SG,SGNIC,C,B
200514040K,INTERSNACKRAJKUMAR.COM.SG,SGNIC,C,B
200514040K,INTERSNACKSINGAPORE.COM.SG,SGNIC,C,B
200514040K,RALS.COM.SG,SGNIC,C,B
200603008R,addvalue.sg,ORBIS,C,B
200605892N,www.hwacheonasia.com,ORBIS,C,B
200605892N,HWACHEON.COM.SG,SGNIC,C,B
200609656D,www.ate.bz,ORBIS,C,B
200609656D,THECORNERGRILL.COM.SG,SGNIC,C,B
200611573H,www.lecreuset.com.sg,ORBIS,B,C
200611637R,garmin.com.sg,ORBIS,C,B
200612275D,www.extraspaceasia.com.my,ORBIS,C,B
200614389G,www.gfaglobal.com,ORBIS,C,B
200615369W,www.yesnatural.sg,ORBIS,C,B
200703724D,www.extraspaceasia.com.sg/facility/eunos-link,ORBIS,C,B
200706861E,starlearners.com.sg,ORBIS,B,C
200723733C,goldhub.com.sg,ORBIS,C,B
200804724D,www.nvidia.com/object/contact-information-asia.html,ORBIS,C,B
200810692H,www.allportcargoservices.com,ORBIS,C,B
200810692H,ALLPORTCARGOSERVICES.COM.SG,SGNIC,C,B
200810692H,WAKATECH.SG,SGNIC,C,B
200812893C,prime-vantage.com/summary,ORBIS,B,C
200813537C,www.norstarshipping.com,ORBIS,C,B
200816925N,www.galleryt.com.sg,ORBIS,C,B
200818395H,www.mindchamps.org,ORBIS,C,B
200821332D,complainsg.blogspot.com,ORBIS,C,B
200910776E,www.bluelambda.com,ORBIS,B,C
200910776E,EMUAID.COM.SG,SGNIC,B,C
200910776E,HYPERGLOBAL.COM.SG,SGNIC,B,C
200911707D,www.trt.com,ORBIS,C,B
200912896W,futuraingredients.com,ORBIS,B,C
200915888R,iconinterior.com.sg,ORBIS,C,B
200916513E,www.gaiascience.com.sg,ORBIS,C,B
200917249C,rabeanco.com,ORBIS,C,B
200917249C,RABEANCO.COM.SG,SGNIC,C,B
200921675N,accountancyhub.com.sg,ORBIS,C,B
200922432W,chocnspice.com,ORBIS,C,B
200923466R,www.rikvin.com,ORBIS,C,B
200923466R,APAISER.COM.SG,SGNIC,C,B
201008974W,www.sbsshipbrokers.com,ORBIS,C,B
201017474G,www.costumes-n-parties.com,ORBIS,C,B
201100612H,www.boxpark.com.sg,ORBIS,C,B
201102569G,www.oneslp.com,ORBIS,C,B
201103249N,www.purocoffee.com,ORBIS,C,B
201105564C,atlas-sv.com,ORBIS,C,B
201107723C,asia.christianlouboutin.com/sg_en,ORBIS,C,B
201110670C,www.day-lightstudios.com,ORBIS,C,B
201116594N,www.hitecsourcing.com,ORBIS,B,C
201116594N,LOVETUBUY.COM.SG,SGNIC,B,C
201129027M,www.laflorliving.com,ORBIS,C,B
201131994G,www.madisonpac.com,ORBIS,C,B
201134100C,www.bettrbarista.com,ORBIS,B,C
201135676E,provenance.com.sg,ORBIS,C,B
201136038E,www.alligator.nl,ORBIS,B,C
201200395D,globalscanningsolutions.com,ORBIS,B,C
201202293Z,www.whatarage.com,ORBIS,C,B
201202293Z,WHATARAGE.COM.SG,SGNIC,C,B
201203627H,www.teromarine.com,ORBIS,C,B
201203627H,TEROMARINE.COM.SG,SGNIC,C,B
201203630E,www.rackscentral.com,ORBIS,C,B
201204066W,awsg.asia,ORBIS,C,B
201204197C,kyani.com/us,ORBIS,C,B
201205346M,www.geoalliance.com.sg,ORBIS,C,B
201205460G,readysteadygokids.com.sg,ORBIS,C,B
201206613C,www.kambarakisen.com.sg,ORBIS,C,B
201208902N,www.beautygarage.co.jp,ORBIS,B,C
201210390G,blackdot.sg,ORBIS,C,B
201213716W,www.neb.sg,ORBIS,C,B
201214612R,www.digitalalchemy.asia,ORBIS,B,C
201217037W,neuromath.com.sg,ORBIS,C,B
201219047D,www.kitchenbrains.com,ORBIS,C,B
201221719R,www.itoen-global.com,ORBIS,B,C
201221719R,ITOEN.COM.SG,SGNIC,B,C
201227092W,garlockasia.com,ORBIS,C,B
201227866Z,springjewellery.com.sg,ORBIS,C,B
201230714D,www.bingbling.com.sg,ORBIS,C,B
201230714D,BINGBLING-W.COM.SG,SGNIC,C,B
201302299H,www.trakomatic.com,ORBIS,C,B
201302513E,www.emarsys.com,ORBIS,C,B
201307658G,www.appnexus.com,ORBIS,C,B
201309641K,www.apex-avalon.sg,ORBIS,C,B
201312695C,lukes.com.sg,ORBIS,C,B
201318106D,www.grantmanagementsoftware.com,ORBIS,C,B
201318750H,www.alto-partners.com,ORBIS,C,B
201319266K,www.kinofy.com,ORBIS,C,B
201323641H,interpak.com.sg,ORBIS,C,B
201326641W,www.oodleslearning.com,ORBIS,C,B
201327719W,www.bagartisan.com,ORBIS,C,B
201334026E,www.luxe-brew.com,ORBIS,C,B
201334026E,FORGEDDRINKS.SG,SGNIC,C,B
201401608H,netinsight.net,ORBIS,C,B
201405340N,www.boggi.com,ORBIS,C,B
201407964D,corvit.sg,ORBIS,B,C
201409568C,www.gogovan.sg,ORBIS,B,C
201412625R,www.thevintageclub.sg,ORBIS,C,B
201415471R,www.alpome.com,ORBIS,C,B
201425346R,www.cleargo.com,ORBIS,C,B
201425546E,elcome.com,ORBIS,C,B
201426184M,alphanova.com.sg,ORBIS,C,B
201429661R,www.definitestudios.com,ORBIS,C,B
201429661R,definitestudios.com/,GMAP,C,B
201431088W,starlearners.com.sg,ORBIS,B,C
201435630Z,www.incorp.asia,ORBIS,C,B
201436167W,www.hewtransportation.com,ORBIS,B,C
201436340E,www.kaleidomarketing.com,ORBIS,C,B
201436340E,kaleidomarketing.com/,GMAP,C,B
201501085N,www.moglix.com,ORBIS,C,B
201503118E,fleuriste.sg,ORBIS,C,B
201503719D,www.s4carlisle.com,ORBIS,C,B
201504362H,www.hilife.sg,ORBIS,B,C
201504362H,LUXURIE.SG,SGNIC,B,C
201504362H,WHARFRESIDENCECONDO.COM.SG,SGNIC,B,C
201505118W,www.bespoketraining.com,ORBIS,C,B
201505192N,hummingbirdbioscience.com,ORBIS,C,B
201507815Z,magpie.im,ORBIS,C,B
201507991M,www.delvaux.com/en/boutiques/singapore/scotts-square,ORBIS,C,B
201508698C,www.ecoappls.com,ORBIS,C,B
201510850Z,www.flyingcape.com.sg,ORBIS,C,B
201512847R,solveso.com,ORBIS,C,B
201523197M,www.darktrace.com,ORBIS,B,C
201523197M,DARKTRACE.SG,SGNIC,B,C
201524079K,www.oldchunkee.com.sg,ORBIS,B,C
201525507H,www.hovono.com,ORBIS,C,B
201526714N,www.selfdrvn.com,ORBIS,B,C
201526714N,selfdrvn.com/,GMAP,B,C
201527506K,www.abcam.com,ORBIS,B,C
201529482G,bluefireai.com,ORBIS,B,C
201531034N,smartgateway.com.sg,ORBIS,B,C
201531878E,www.kaigarden.com.sg,ORBIS,C,B
201532639M,www.designs.net,ORBIS,C,B
201534100R,www.aspectus.com.sg,ORBIS,C,B
201534247W,atmosphere-bistro.com.sg,ORBIS,C,B
201535772K,ipaymy.com,ORBIS,C,B
201536129M,tryandreview.com,ORBIS,C,B
201538113G,www.zuzuhotels.com,ORBIS,C,B
201540527H,www.oldsengchoong.com,ORBIS,C,B
201541484N,www.citytalent.org,ORBIS,C,B
201543224C,www.brooksbrothers.com,ORBIS,C,B
201600261C,www.lumine.sg,ORBIS,C,B
201600676G,viennamusic.com.sg,ORBIS,C,B
201603173K,www.justedu.com.sg,ORBIS,C,B
201603189H,www.justedu.com.sg,ORBIS,C,B
201603215K,www.justedu.com.sg,ORBIS,C,B
201606057D,www.parknparcel.com.sg,ORBIS,B,C
201607073C,euro5diesel.com.sg,ORBIS,C,B
201607798D,www.lchqs.sg,ORBIS,B,C
201608007M,starlearners.com.sg,ORBIS,B,C
201614003C,www.storhub.com.sg,ORBIS,C,B
201614296W,fortunefood.sg,ORBIS,C,B
201614296W,SOUPERSTAR.SG,SGNIC,C,B
201615043H,www.amiralgestion.com/fr,ORBIS,C,B
201619072C,www.lenzing.com,ORBIS,B,C
201621034Z,kimlygroup.sg,ORBIS,C,B
201624081Z,dicksongroup.com.sg,ORBIS,C,B
201624415M,www.lovebonito.com/intl,ORBIS,C,B
201625397W,www.vzug.com.sg,ORBIS,C,B
201627187H,www.zoff.com,ORBIS,B,C
201633634W,cartimes.com.sg,ORBIS,C,B
201634340Z,www.space-doctors.com,ORBIS,C,B
201705914W,www.caic.com.sg,ORBIS,C,B
201710741K,www.kleepers.com,ORBIS,C,B
201710741K,kleepers.com/,GMAP,C,B
201715554H,www.dishthefish.com.sg,ORBIS,C,B
201721325E,www.limocars.com.sg,ORBIS,B,C
201729791Z,www.cvedia.com,ORBIS,B,C
201802096E,p5studio.com.sg,ORBIS,C,B
201806618W,www.spidergate.com.sg,ORBIS,C,B
201811626E,www.fishop.com.sg,ORBIS,C,B
201811626E,FISHOP.SG,SGNIC,C,B
201813252N,fanfare.global,ORBIS,C,B
201819227H,www.acktechnologies.com,ORBIS,C,B
201819227H,ACKTEC.COM.SG,SGNIC,C,B
201819227H,ACKTECHNOLOGIES.COM.SG,SGNIC,C,B
201819227H,GLOBALTRAININGSERVICES-ELEARNING.SG,SGNIC,C,B
201819227H,NEXUSGP.COM.SG,SGNIC,C,B
201819227H,VOCED.SG,SGNIC,C,B
201837712W,www.axgeecleaning.com,ORBIS,C,B
195800019C,www.namleong.com.sg,ORBIS,B,C
196300091D,www.noah.com.sg,ORBIS,C,B
196700432K,www.copthornekings.com.sg,ORBIS,C,B
196800028H,www.miramar.com.sg,ORBIS,C,B
196800028H,FERNTREECAFE.COM.SG,SGNIC,C,B
196800075Z,www.ytchotels.com,ORBIS,C,B
196900017H,www.benfoods.com,ORBIS,B,C
196900017H,BENFOODS.COM.SG,SGNIC,B,C
196900017H,BENMART.COM.SG,SGNIC,B,C
197000079Z,www.abbott.com.sg,ORBIS,B,C
197000473M,www.electrolux.com.sg,ORBIS,C,B
197000712H,tjiatsengexim.blogspot.bg,ORBIS,B,C
197200777G,aafasia.com,ORBIS,C,B
197200777G,AAF.COM.SG,SGNIC,C,B
197200777G,AAFSINGAPORE.COM.SG,SGNIC,C,B
197200937E,www.apexpharmacy.com.sg,ORBIS,B,C
197200937E,COLABODERMATOLOGY.SG,SGNIC,B,C
197200937E,GRAFTON.COM.SG,SGNIC,B,C
197200937E,HENNSON.COM.SG,SGNIC,B,C
197200937E,MEDSENDS.COM.SG,SGNIC,B,C
197301755Z,www.apds.com.sg,ORBIS,C,B
197301755Z,RICOH-PENTAX.COM.SG,SGNIC,C,B
197501544N,www.timespublishing.sg,ORBIS,B,C
197501708R,www.kyoceradocumentsolutions.com.sg,ORBIS,B,C
197601254G,www.mph.com.sg,ORBIS,B,C
197602340C,www.gohyeowseng.com.sg,ORBIS,C,B
197602480G,www.casaholdings.com.sg,ORBIS,B,C
197602480G,BLOMBERG.SG,SGNIC,B,C
197602480G,CHATEAU-WINECOOLER.COM.SG,SGNIC,B,C
197602480G,ELBA.COM.SG,SGNIC,B,C
197602480G,EVEL.SG,SGNIC,B,C
197602480G,KITH.SG,SGNIC,B,C
197602480G,RUBINE.COM.SG,SGNIC,B,C
197701104M,www.statclean.com,ORBIS,C,B
197701104M,STATCLEAN.COM.SG,SGNIC,C,B
197702537W,www.tds.com.sg,ORBIS,B,C
197800482D,sorella-lingerie.com,ORBIS,C,B
197802852R,www.crystaltime.com.sg,ORBIS,C,B
197802852R,LUMINOX.COM.SG,SGNIC,C,B
197901313K,www.telechoice.com.sg,ORBIS,C,B
197901313K,PLANET-TELECOMS.COM.SG,SGNIC,C,B
197901315M,www.kerrdental.com,ORBIS,C,B
197901315M,ENVISTA.COM.SG,SGNIC,C,B
197901315M,KAVO.COM.SG,SGNIC,C,B
197901452E,www.capital.sg,ORBIS,B,C
197901452E,KDK.COM.SG,SGNIC,B,C
197902250K,www.misterminit.com.my,ORBIS,C,B
197902250K,MINIT.COM.SG,SGNIC,C,B
197902327D,www.aronaip.com,ORBIS,C,B
197902523H,www.hawparvilla.sg,ORBIS,C,B
198000005M,www.jackson.com.sg,ORBIS,C,B
198000005M,I-ONE.SG,SGNIC,C,B
198000005M,WALLPAPERS.COM.SG,SGNIC,C,B
198000005M,WINDOWBLINDS.SG,SGNIC,C,B
198000005M,WINDOWCURTAINS.SG,SGNIC,C,B
198105079K,wongyiunam.com.sg,ORBIS,B,C
198204256H,www.hp.com.sg,ORBIS,C,B
198204256H,RESOEPCL.SG,SGNIC,C,B
198300896E,www.makita.com.sg,ORBIS,C,B
198300896E,MAKTEC.COM.SG,SGNIC,C,B
198302933D,www.goldlite.com.sg,ORBIS,C,B
198303939E,www.enerpac.com/en/distributors/actuant-asia-pte-ltd,ORBIS,C,B
198303939E,APASIA.COM.SG,SGNIC,C,B
198303939E,ENERPAC.COM.SG,SGNIC,C,B
198402903H,www.doka.com,ORBIS,C,B
198502714G,www.fellowes.com,ORBIS,C,B
198502714G,FELLOWES.COM.SG,SGNIC,C,B
198600587K,www.focuspublishing.com,ORBIS,C,B
198602862G,www.ie-pl.com,ORBIS,B,C
198602862G,BESTWATCH.COM.SG,SGNIC,B,C
198700398H,www.oceanparadise.com.sg,ORBIS,C,B
198703270K,www.marketf.com,ORBIS,B,C
198801083W,www.juneflorist.com.sg,ORBIS,C,B
198803318Z,www.tcimpexp.com/contact-us,ORBIS,B,C
198803318Z,TCIMPEXP.COM.SG,SGNIC,B,C
198803408C,www.ksb.com/en-sg,ORBIS,C,B
198803408C,KSB.COM.SG,SGNIC,C,B
